Wavelength (nm)	Abs. Coeff.
1530	0.022458361
1531	0.023581267
1532	0.006678647
1533	0.002231646
1534	0.006535787
1535	0.014221921
1536	0.007263034
1537	0.012670157
1538	0.002884045
1539	0.007049346
1540	0.001519731
1541	0.003148415
1542	0.010140942
1543	0.00382059
1544	0.010549788
1545	0.001753751
1546	0.005600404
1547	0.002569854
1548	0.002459976
1549	0.000350807
1550	0.001506758
1551	0.002287998
1552	0.006841061
1553	0.001308007
1554	0.002383287
1555	0.001157057
1556	0.001607847
1557	0.001159705
1558	0.001109407
1559	0.001406039
1560	0.001600674
1561	0.001341323
1562	0.003447035
1563	0.002555656
1564	0.002878208
1565	0.001056472
1566	0.002229729
1567	0.001366292
1568	0.002101635
1569	0.000493373
1570	0.000813108
1571	0.001003547
1572	0.000768163
1573	0.000826328
1574	0.000876572
1575	0.000530348
1576	0.001374307
1577	0.000488092
1578	0.00030858
1579	0.002145745
1580	0.000393041
1581	0.000538271
1582	0.000699439
1583	0.003373909
1584	0.000163476
1585	0.000596386
1586	0.002940801
1587	0.003726269
1588	0.000237337
1589	0.000131828
1590	0.001743213
1591	0.00119942
1592	0.003755675
1593	0.000974444
1594	0.002966226
1595	0.001381492
1596	0.002182146
1597	0.004454756
1598	0.001112054
1599	0.001074998
1600	0.000131828
1601	0.001157057
1602	0.002581544
1603	0.000229423
1604	0.000382482
1605	0.000108094
1606	0.000295385
1607	0.000174026
1608	0.002098168
1609	0.000784025
1610	0.000828973
1611	0.001305358
1612	0.000150289
1613	0.001776275
1614	0.000887151
1615	0.000400961
1616	0.000752302
1617	0.001981083
1618	0.000242614
1619	0.002607024
1620	0.000123916
1621	0.000126553
1622	0.000305941
1623	0.000292747
1624	0.000282192
1625	0.001556827
1626	0.000226784
1627	0.000131828
1628	0.000216232
1629	0.000131828
1630	0.000171389
1631	0.000342889
1632	0.002584967
1633	0.002039435
1634	0.000374563
1635	0.002090658
1636	0.000276914
1637	0.001051179
1638	0.000361365
1639	0.002149018
1640	0.004244489
1641	0.000361365
1642	0.001845424
1643	0.000723226
1644	0.000239975
1645	0.003354734
1646	0.00501035
1647	0.000884507
1648	0.001541962
1649	0.002090297
1650	0.002478286
1651	0.00143254
1652	0.008575416
1653	0.004810819
1654	0.002620919
1655	0.002910434
1656	0.004936145
1657	0.004777652
1658	0.00354157
1659	0.001440491
1660	0.001943824
1661	0.005984114
1662	0.010320478
1663	0.00245957
1664	0.005363558
1665	0.001746314
1666	0.008302067
1667	0.001468706
1668	0.000519783
1669	0.009512354
1670	0.00262782
1671	0.003757663
1672	0.003779708
1673	0.002199544
1674	0.003977833
1675	0.004113866
1676	0.008240994
1677	0.006411977
1678	0.009096564
1679	0.002788583
1680	0.004459313
1681	0.001461087
1682	0.001331849
1683	0.002466002
1684	0.018674793
1685	0.001395439
1686	0.002440233
1687	0.008780616
1688	0.001530247
1689	0.004093537
1690	0.009229803
1691	0.041454259
1692	0.012334833
1693	0.001369631
1694	0.00995514
1695	0.001592097
1696	0.003567348
1697	0.067033925
1698	0.002417307
1699	0.008387613
1700	0.013068407
1702	0.001490029
1705	0.012480144
1710	0.026370067
1715	0.03409164
1720	0.031355589
1725	0.049533004
1730	0.05375017
1735	0.066259644
1740	0.067318564
1745	0.107400881
1750	0.063115779
1755	0.109192311
1760	0.074806881
1765	0.179380465
1770	0.125158899
1775	0.23234785
1780	0.396447587
1785	0.567227761
1790	0.41454013
1795	0.917151147
1800	1.558212827
1805	3.996
1810	4.0373879
1815	6.301274082
1820	9.292958236
1825	6.433652782
1830	11.62701552
1835	15.18772702
1840	21.50064861
1845	11.9739505
1850	15.10910319
1855	16.70427591
1860	12.45601639
1865	8.615341384
1870	23.44590564
1875	22.28238174
1880	7.525796179
1885	8.313168309
1890	8.104515164
1895	6.298096745
1900	14.47896723
1905	17.57287387
1910	7.713200907
1915	11.51811872
1920	8.425087647
1925	6.215542063
1930	6.027488729
1935	3.591622028
1940	4.299331374
1945	2.457845339
1950	1.19
1955	1.24
1960	0.986008505
1965	0.63914226
1970	0.4039892
1975	0.241434596
1980	0.239423242
1985	0.199391442
1990	0.179057156
1995	0.144007708
2000	0.115489186
2005	0.192932135
2010	0.016587604
2015	0.118556485
2020	0.076206639
2025	0.036194069
2030	0.064327575
2035	0.023305956
2040	0.039267984
2045	0.024445088
2050	0.016162092
2055	0.02608622
2060	0.033661324
2065	0.022391488
2070	0.023722684
2075	0.015220015
2080	0.019278603
2085	0.017896783
2090	0.009579176
2095	0.015538908
2100	0.047637533
2105	0.006211626
2110	0.016207437
2115	0.007329342
2120	0.027312046
2125	0.016808161
2130	0.013349759
2135	0.006982639
2140	0.002863609
2145	0.002603741
2150	0.025571098
2155	0.019936519
2160	0.01672675
2165	0.033555672
2170	0.015995922
2175	0.029657387
2180	0.012503136
2185	0.066299128
2190	0.025123466
2195	0.027192361
2200	0.036982169
2205	0.033359501
2210	0.009168242
2215	0.021277851
2220	0.004967579
2225	0.01154365
2230	0.001432131
2235	0.005766009
2240	0.001806491
2245	0.004202535
2250	0.001487452
2255	0.002169002
2260	0.002606916
2265	0.001841847
2270	0.002221121
2275	0.002185372
2280	0.002513995
2285	0.002434862
2290	0.002843845
2295	0.003165786
2300	0.008407899
2305	0.010386154
2310	0.017515064
2315	0.016864695
2320	0.038158344
2325	0.047352873
2330	0.026953052
2335	0.01861952
2340	0.102136163
2345	0.039823446
2350	0.139439154
2355	0.059054636
2360	0.04919361
2365	0.092563895
2370	0.196745865
2375	0.0939658
2380	0.170044671
2385	0.360098018
2390	0.228984507
2395	0.162243441
2400	0.129258178
2405	0.370850919
2410	0.338742827
2415	0.555
2420	0.657
2425	0.368030428
2430	0.104788702
2435	1.228596969
2440	0.121816007
2445	0.772831735
2450	1.137673066
2455	0.517567662
2460	0.281063443
2465	0.607175417
2470	0.87970408
2475	0.799
2480	1.191499605
2485	2.355655964
2490	3.335
2495	3.688605818
2500	0.962557768
2505	5.086438238
2510	4.534883946
2515	7.998393044
2520	4.651624036
2525	8.570274932
2530	13.27179112
2535	14.44632417
2540	10.574496
2545	24.25807603
2550	24.23404194
2555	14.20531685
2560	27.48925202
2565	35.55758253
2570	39.77156977
2575	57.64832723
2580	38.384877
2585	67.08505392
2590	55.21361069
2595	120.186678
2600	47.72527713
2605	102.8791719
2610	65.07915701
2615	78.90354137
2620	79.73348609
2625	43.12827799
2630	84.02211824
2635	35.29319754
2640	24.71364399
2645	35.95961178
2650	24.57523136
2655	49.67246994
2660	60.84742445
2665	101.3660053
2670	115.4893977
2675	92.41722618
2680	59.24044157
2685	60.34280111
2690	37.80299967
2695	71.77990414
2700	41.10854941
2705	29.32148386
2710	81.31767577
2715	32.6745281
2720	87.70440919
2725	59.01102958
2730	21.86193267
2735	36.41714685
2740	83.31749808
2745	30.58631429
2750	27.63213438
2755	52.85861182
2760	31.31518152
2765	57.54265235
2770	44.12011494
2775	23.7861309
2780	35.89143955
2785	26.0044168
2790	23.49121103
2795	17.51496915
2800	16.47077006
2805	36.85778939
2810	12.42830307
2815	14.54525104
2820	23.35896609
2825	6.79411444
2830	6.598909079
2835	17.48115846
2840	12.32674655
2845	4.995024134
2850	9.699149214
2855	14.49199669
2860	5.498378379
2865	3.657391835
2870	7.368042502
2875	3.96679844
2880	3.708460323
2885	3.12347481
2890	5.267235141
2895	1.19519778
2900	5.592384797
2905	5.043051917
2910	1.082941902
2915	3.174106507
2920	2.530732841
2925	4.929728409
2930	0.750063395
2935	0.908190695
2940	2.169931787
2945	3.42484054
2950	1.044085827
2955	3.593978033
2960	1.014720161
2965	0.786202669
2970	6.226772735
2975	4.436617435
2980	3.346865929
2985	0.70146563
2990	0.495150681
2995	1.32688017
3000	0.793079248
3005	2.670615524
3010	0.944141627
3015	0.856316624
3020	5.615030519
3025	0.925735648
3030	1.072043046
3035	3.861005461
3040	3.619564194
3045	1.185387637
3050	5.106255299
3055	7.478619808
3060	0.96304533
3065	2.453320466
3070	2.622343585
3075	1.048709623
3080	2.896421213
3085	2.037528843
3090	2.216143677
3095	4.307523952
3100	1.244417555
3105	5.763444392
3110	5.157297208
3115	3.701170861
3120	0.358787534
3125	4.131780362
3130	1.22488345
3135	0.26558446
3140	1.47649387
3145	1.631034717
3150	0.654884031
3155	0.941103896
3160	0.363498078
3165	0.10892415
3170	0.216259565
3175	0.386520874
3180	0.467393139
3185	0.249037093
3190	1.353953952
3195	0.949086569
3200	6.752011413
3205	7.140491586
3210	6.244640182
3215	3.971674226
3220	2.696218335
3225	8.407127628
3230	5.783412627
3235	0.469496976
3240	0.629851337
3245	6.366580173
3250	1.30804872
3255	0.238018629
3260	3.866728518
3265	2.96688992
3270	3.194786396
3275	0.599022899
3280	1.242803003
3285	0.199933134
3290	0.215
3295	3.111120607
3300	4.340388037
3305	1.024681528
3310	0.614280481
3315	0.791980189
3320	4.502540224
3325	0.525750588
3330	1.168330103
